,Time,SUN_X,SUN_Y,SUN_Z,199_X,199_Y,199_Z,299_X,299_Y,299_Z,399_X,399_Y,399_Z,301_X,301_Y,301_Z,-74_X,-74_Y,-74_Z,599_X,599_Y,599_Z,699_X,699_Y,699_Z,433_X,433_Y,433_Z,Eros_X,Eros_Y,Eros_Z,Orus_X,Orus_Y,Orus_Z,-49_X,-49_Y,-49_Z,-490_X,-490_Y,-490_Z,-255_X,-255_Y,-255_Z,2000016_X,2000016_Y,2000016_Z,90000188_X,90000188_Y,90000188_Z,90000190_X,90000190_Y,90000190_Z,90000191_X,90000191_Y,90000191_Z,Leucus_X,Leucus_Y,Leucus_Z,Eurybates_X,Eurybates_Y,Eurybates_Z,Polymele_X,Polymele_Y,Polymele_Z,Vesta_X,Vesta_Y,Vesta_Z,Mathilde_X,Mathilde_Y,Mathilde_Z,Lutetia_X,Lutetia_Y,Lutetia_Z,Donaldjohanson_X,Donaldjohanson_Y,Donaldjohanson_Z,Braille_X,Braille_Y,Braille_Z,Annefrank_X,Annefrank_Y,Annefrank_Z,Bennu_X,Bennu_Y,Bennu_Z,Itokawa_X,Itokawa_Y,Itokawa_Z,-64_X,-64_Y,-64_Z,Apophis_X,Apophis_Y,Apophis_Z,Ryugu_X,Ryugu_Y,Ryugu_Z,-122911_X,-122911_Y,-122911_Z,Patroclus_X,Patroclus_Y,Patroclus_Z,90000855_X,90000855_Y,90000855_Z,Dinkinesh_X,Dinkinesh_Y,Dinkinesh_Z,20065803_X,20065803_Y,20065803_Z,Gaspra_X,Gaspra_Y,Gaspra_Z,Ceres_X,Ceres_Y,Ceres_Z
0,2022-12-15 06:50:00,-0.00906909,0.00014217,0.0002897,0.34455143,-0.11340733,-0.09702001,0.2877666,-0.59882491,-0.28800194,0.11181462,0.89641432,0.38881264,0.10929762,0.89713664,0.38935649,0.2751772,1.38191626,0.6263883,4.85563829,0.88495118,0.26112816,8.09095131,-5.03171131,-2.42684047,-1.08452323,-0.70966528,-0.59706571,16.12017126,-27.57443495,-13.46183095,1.73275618,4.18629893,1.94367553,0.10405612,1.07828221,0.46951318,0.18182037,0.76577665,0.31342766,99,99,99,99,99,99,2.79046113,0.15108739,-0.46293323,2.79048618,0.15113263,-0.46291609,2.79048057,0.15112125,-0.46292079,-0.40892978,4.75362413,1.61579615,-0.55269686,4.10927361,2.36628672,-0.85161508,3.94269301,2.6200188,2.37488853,0.15015153,-0.25197814,1.18224531,-1.54998829,-0.46589154,0.63642208,-1.82907859,-0.84865345,0.80248726,-2.51292124,-0.99284873,1.5966431,2.69173434,1.18602988,2.26800597,0.20919586,-0.07440146,-1.198778,-0.23556279,-0.12789318,1.12958694,-0.53257835,-0.27005304,-1.21265198,-0.01200537,-0.00381106,-1.06244002,0.27493638,0.07582807,0.27020767,-1.30300965,-0.48521548,0.11187747,0.89668204,0.38887472,1.63774773,-3.14504665,-3.18326611,-1.60469198,0.04389679,0.08420806,-0.09132897,1.75643852,0.83504068,0.01055522,1.05339122,0.4776998,-1.58692051,1.56821478,0.52442119,-2.29495884,0.76754916,0.82754395
1,2022-12-15 06:51:00,-0.00906909,0.00014216,0.0002897,0.34455494,-0.11339039,-0.09701133,0.28777933,-0.59881944,-0.28800028,0.11180257,0.89641562,0.3888132,0.10928546,0.89713761,0.38935689,0.2751688,1.38191741,0.62638969,4.85563726,0.88495613,0.26113031,8.09095329,-5.03170834,-2.42683933,-1.08451865,-0.7096735,-0.59706955,16.12017327,-27.57443418,-13.46183135,1.73275111,4.18630099,1.94367556,0.10404462,1.07828648,0.46951505,0.18180823,0.76577588,0.31342722,99,99,99,99,99,99,2.79046498,0.1510933,-0.46293092,2.79049003,0.15113854,-0.46291379,2.79048442,0.15112716,-0.46291848,-0.40893513,4.75362427,1.6157951,-0.55270251,4.10927295,2.36628698,-0.8516206,3.94269195,2.62001929,2.37488904,0.15015863,-0.25197538,1.18225221,-1.5499822,-0.46588972,0.63643007,-1.82907525,-0.84865243,0.80249346,-2.51291993,-0.99284766,1.59663923,2.69173702,1.18602843,2.26800498,0.20920301,-0.07439861,-1.19877765,-0.23557181,-0.12789827,1.12959434,-0.53257124,-0.27005009,-1.21265416,-0.01201445,-0.00381616,-1.06244212,0.2749269,0.07582449,0.27021648,-1.30300836,-0.48521405,0.11186422,0.8966836,0.38887541,1.63775262,-3.14504379,-3.18326546,-1.60469247,0.04388586,0.08420386,-0.09133799,1.75643818,0.83504066,0.01054307,1.05339405,0.47770185,-1.58692693,1.56821093,0.52441914,-2.29496199,0.76754251,0.82754146
2,2022-12-15 06:52:00,-0.00906909,0.00014216,0.0002897,0.34455845,-0.11337346,-0.09700265,0.28779206,-0.59881397,-0.28799863,0.11179052,0.89641692,0.38881377,0.1092733,0.89713857,0.38935729,0.2751604,1.38191857,0.62639115,4.85563623,0.88496108,0.26113245,8.09095528,-5.03170536,-2.42683819,-1.08451407,-0.70968171,-0.59707338,16.12017529,-27.57443341,-13.46183175,1.73274603,4.18630304,1.94367558,0.10403311,1.07829074,0.46951691,0.1817961,0.76577511,0.31342678,99,99,99,99,99,99,2.79046883,0.15109921,-0.46292862,2.79049388,0.15114445,-0.46291149,2.79048827,0.15113307,-0.46291618,-0.40894048,4.75362442,1.61579406,-0.55270815,4.10927229,2.36628724,-0.85162612,3.94269089,2.62001977,2.37488956,0.15016573,-0.25197262,1.18225911,-1.54997611,-0.4658879,0.63643807,-1.8290719,-0.84865141,0.80249966,-2.51291862,-0.99284659,1.59663537,2.69173969,1.18602699,2.268004,0.20921016,-0.07439576,-1.1987773,-0.23558083,-0.12790337,1.12960174,-0.53256412,-0.27004713,-1.21265634,-0.01202354,-0.00382126,-1.06244423,0.27491742,0.07582092,0.2702253,-1.30300707,-0.48521262,0.11185097,0.89668514,0.3888761,1.6377575,-3.14504093,-3.18326482,-1.60469297,0.04387493,0.08419966,-0.09134701,1.75643784,0.83504063,0.01053092,1.05339688,0.4777039,-1.58693336,1.56820707,0.52441708,-2.29496515,0.76753585,0.82753896
3,2022-12-15 06:58:00,-0.00906909,0.00014212,0.00028968,0.34457949,-0.11327184,-0.09695054,0.28786843,-0.59878114,-0.28798869,0.11171823,0.89642473,0.38881716,0.10920031,0.89714437,0.38935968,0.27510993,1.38192596,0.62640147,4.85563005,0.88499078,0.26114533,8.09096718,-5.03168753,-2.42683133,-1.08448658,-0.709731,-0.5970964,16.12018737,-27.57442879,-13.46183415,1.73271557,4.18631535,1.94367571,0.10396408,1.07831633,0.4695281,0.18172329,0.76577049,0.31342416,99,99,99,99,99,99,2.79049192,0.15113466,-0.46291479,2.79051698,0.15117991,-0.46289766,2.79051136,0.15116852,-0.46290235,-0.40897259,4.75362529,1.61578779,-0.55274203,4.10926833,2.36628879,-0.85165923,3.94268452,2.62002267,2.37489266,0.15020834,-0.25195604,1.18230051,-1.54993956,-0.46587698,0.63648603,-1.82905182,-0.84864527,0.80253683,-2.51291076,-0.99284017,1.59661217,2.69175572,1.18601835,2.26799811,0.20925305,-0.07437866,-1.19877517,-0.23563493,-0.12793395,1.12964612,-0.53252143,-0.27002939,-1.21266942,-0.01207802,-0.00385188,-1.06245683,0.27486056,0.07579947,0.27027817,-1.30299932,-0.48520403,0.11177144,0.89669432,0.38888019,1.63778679,-3.14502376,-3.18326095,-1.60469595,0.04380933,0.08417446,-0.09140114,1.7564358,0.83504046,0.01045802,1.05341388,0.47771619,-1.58697189,1.56818392,0.52440476,-2.29498409,0.76749593,0.82752399
4,2022-12-15 07:20:00,-0.00906908,0.000142,0.00028963,0.34465637,-0.11289918,-0.09675942,0.28814843,-0.59866071,-0.28795221,0.11145314,0.89645334,0.38882956,0.10893273,0.89716556,0.38936844,0.27491754,1.38196729,0.62645501,4.85560736,0.88509968,0.26119257,8.09101082,-5.03162214,-2.4268062,-1.08438577,-0.70991173,-0.59718079,16.12023168,-27.57441185,-13.46184296,1.7326039,4.18636051,1.94367618,0.10371097,1.07841013,0.46956911,0.18145629,0.76575347,0.31341451,99,99,99,99,99,99,2.79057661,0.15126467,-0.4628641,2.79060166,0.15130991,-0.46284696,2.79059605,0.15129852,-0.46285165,-0.40909032,4.7536285,1.61576482,-0.55286626,4.10925379,2.36629446,-0.85178064,3.94266118,2.6200333,2.374904,0.15036458,-0.25189526,1.18245233,-1.54980554,-0.46583694,0.63666187,-1.82897817,-0.84862275,0.80267314,-2.51288192,-0.99281665,1.59652709,2.69181448,1.18598666,2.26797652,0.2094103,-0.07431595,-1.19876736,-0.23583331,-0.12804606,1.12980885,-0.53236488,-0.26996433,-1.21271736,-0.01227781,-0.00396414,-1.06250302,0.27465205,0.0757208,0.27047204,-1.30297088,-0.48517252,0.11147954,0.89672632,0.38889483,1.63789418,-3.14496083,-3.18324677,-1.60470685,0.04356883,0.08408209,-0.09159962,1.75642832,0.83503984,0.01019073,1.05347617,0.47776125,-1.58711318,1.56809904,0.52435958,-2.29505355,0.76734954,0.82746909
