Time,Object_Name,X,Y,Z
7/21/2002,Patroclus,2.24583665,3.71786217,2.28114931
10/4/2002,90000190,1.77892239,4.02686442,1.72847858
10/4/2002,Itokawa,-1.00406818,-0.14592284,-0.03354448
10/19/2002,SUN,0.00081765,-0.00464513,-0.00199227
10/27/2002,-122911,0.83109645,0.49661546,0.21543766
10/28/2002,301,0.82030155,0.51211047,0.22220646
7/23/2003,-122911,0.50602467,-0.81309535,-0.35250845
7/24/2003,Dinkinesh,-0.40930327,1.71667897,0.82100584
10/10/2003,Leucus,-2.91203639,-4.25872628,-2.11923352
4/14/2005,399,-0.91139218,-0.37503585,-0.16271477
9/28/2005,Orus,-1.25221739,-4.7486254,-2.09264709
10/2/2005,Mathilde,1.29623311,-1.44382248,-0.43410392
10/3/2005,Itokawa,-1.05585941,0.14444883,0.09492242
10/3/2005,90000855,4.2346494,-1.98703476,-0.94457207
10/8/2005,Patroclus,-4.92618536,1.41139381,2.90473997
5/25/2006,90000188,2.98992811,0.54296237,-0.3020617
12/16/2006,199,-0.32029391,-0.28203227,-0.11768013
1/15/2007,Vesta,-1.98326996,-0.96518455,-0.12485332
2/5/2007,Ryugu,-0.93301736,-0.74634801,-0.39360394
2/13/2007,301,-0.79479185,0.53673216,0.23232951
1/15/2008,Itokawa,1.42410192,0.78048716,0.30642639
1/16/2008,299,-0.6401617,-0.31326385,-0.10057774
5/10/2009,-122911,-0.66070796,-0.69890588,-0.30307035
6/5/2009,699,-9.3002411,1.17490011,0.88563838
6/22/2009,433,1.1880583,-1.22338821,-0.48054605
8/18/2009,-122911,0.82640827,-0.52870637,-0.22911983
8/25/2009,Lutetia,-1.69663447,1.98944058,0.98045534
1/25/2010,Orus,4.45021011,1.81897333,1.42473146
5/10/2010,90000855,-1.33388876,-1.09768533,-0.36769976
5/15/2010,90000191,-2.08014492,1.20182274,1.0230054
5/16/2010,Gaspra,-2.55595728,-0.05564772,-0.21189093
5/17/2010,433,-1.01934569,0.54730481,0.12740038
5/17/2010,Vesta,-2.2816461,0.13966067,0.35340996
5/17/2010,Dinkinesh,-1.69099754,1.02907552,0.51336305
5/23/2010,Dinkinesh,-1.73729221,0.9759404,0.48883117
5/23/2010,Gaspra,-2.55607967,-0.11947489,-0.2380137
5/26/2010,199,0.18872224,-0.3398059,-0.20168575
5/26/2010,299,-0.60052897,0.35187566,0.19604014
5/28/2010,299,-0.62221399,0.31994754,0.1830473
6/7/2010,Dinkinesh,-1.8435437,0.83798368,0.42493132
6/11/2010,90000190,-2.10038553,0.91743812,0.88040171
6/11/2010,90000191,-2.1003858,0.91743614,0.8804005
6/12/2010,301,-0.16575837,-0.91570598,-0.39685408
6/12/2010,699,-9.49820768,-0.74528948,0.10104218
6/12/2010,433,-1.19595143,0.20546999,-0.09866833
6/12/2010,90000188,-2.1005825,0.90664782,0.8748787
6/12/2010,90000190,-2.10058039,0.9066388,0.87487481
6/12/2010,Vesta,-2.27073694,-0.13762373,0.2415417
6/12/2010,Bennu,1.00267907,-0.32400482,-0.18768891
6/12/2010,Apophis,-0.76977996,0.73318941,0.25323089
6/12/2010,90000855,-1.06939024,-1.49741666,-0.53310784
6/12/2010,Ceres,-0.2000271,-2.57302345,-1.17235492
6/14/2010,Eurybates,1.49865471,3.95695199,2.05354048
6/14/2010,Mathilde,1.97533475,0.28351653,0.08366077
6/14/2010,Bennu,1.00752104,-0.29467695,-0.17113544
6/15/2010,199,0.32069553,0.09429882,0.01652902
6/15/2010,90000188,-2.10091125,0.87414037,0.85819178
6/19/2010,Eros,2.16358617,-30.14148906,-10.05820352
6/19/2010,Orus,3.81676768,2.72453294,1.68677239
8/19/2010,Polymele,0.9165203,3.98917883,2.28540622
8/19/2010,Itokawa,0.43144162,-0.89493225,-0.41140846
9/11/2010,433,-0.90130717,-0.9604937,-0.70781436
9/11/2010,Polymele,0.73335098,4.00736414,2.33464026
9/18/2010,Leucus,-0.10717225,4.708101,1.65967451
10/10/2010,Donaldjohanson,-2.15377482,-0.32672391,-0.31683514
10/17/2010,433,-0.5428288,-1.26234597,-0.81455348
10/17/2010,Mathilde,1.43280236,1.70882969,0.51152904
10/22/2010,Apophis,-0.23823382,-0.76422346,-0.29021294
10/22/2010,90000855,0.29251332,-2.46788869,-0.96494078
1/21/2011,Eros,2.85170625,-30.13781753,-10.26392705
1/23/2011,-122911,-0.53212823,0.76250544,0.33052153
5/4/2011,Annefrank,-2.11677116,-0.23655869,0.05260761
5/7/2011,301,-0.70530871,-0.66303815,-0.28744484
6/27/2011,SUN,-0.00388438,-0.00032454,-0.0001281
6/28/2011,SUN,-0.00388183,-0.00032978,-0.00013042
6/28/2011,299,0.32336831,0.59358484,0.24637893
7/22/2011,Orus,1.22915818,4.37441819,1.93898872
7/30/2011,Donaldjohanson,-0.33764544,-2.48339681,-1.07630106
8/4/2011,Leucus,-2.47909072,4.35778341,1.04780395
8/14/2011,299,-0.545909,0.41562528,0.22132732
8/15/2011,90000855,3.00559224,-2.5921187,-1.12694658
8/16/2011,399,0.80131811,-0.56430661,-0.24463365
8/16/2011,Eurybates,-1.93457882,3.7500699,2.32043322
8/18/2011,299,-0.59562188,0.35571626,0.19751934
8/25/2011,299,-0.66414335,0.24044182,0.14999187
8/28/2011,Ceres,2.87071687,-0.26780832,-0.71135988
9/5/2011,Lutetia,1.1333793,-1.5589798,-0.75737435
9/5/2011,Ceres,2.88171554,-0.19824928,-0.68081883
9/7/2011,Donaldjohanson,0.02868038,-2.55020395,-1.07402537
9/7/2011,Bennu,1.01397903,-0.09499181,-0.05798895
9/7/2011,Dinkinesh,0.34239412,-2.17497343,-1.03738887
9/10/2011,Donaldjohanson,0.05693213,-2.55308426,-1.07289063
9/10/2011,Ryugu,1.0934905,0.22940767,0.20602839
9/11/2011,Bennu,1.00632792,-0.03318805,-0.02302784
9/13/2011,-122911,0.98641459,-0.16588141,-0.07180976
12/21/2011,Itokawa,-0.75280371,-0.55475467,-0.22549037
4/4/2012,Ryugu,-1.01132912,-0.61989365,-0.35123335
5/26/2012,Mathilde,-3.10092086,1.21947121,0.36805126
7/11/2012,SUN,-0.00230531,-0.00188631,-0.00083965
7/11/2012,199,-0.13022475,-0.40297088,-0.20182906
7/11/2012,Gaspra,0.84972486,1.53923757,0.69281859
7/12/2012,399,0.34345241,-0.87899491,-0.381084
7/12/2012,433,-0.63830426,-1.19986942,-0.79615802
7/21/2012,90000190,3.28481295,2.25561307,0.52335767
7/21/2012,Bennu,-0.04206056,-1.1635725,-0.65712427
7/21/2012,90000855,4.7918763,-1.44250929,-0.75832137
7/22/2012,Orus,-1.58309509,4.44719857,1.52626303
7/22/2012,90000855,4.79515987,-1.43825582,-0.75681767
7/22/2012,Dinkinesh,2.12516899,0.17343636,0.05085662
7/24/2012,Leucus,-4.46060863,2.85057296,0.10295614
7/25/2012,Orus,-1.60525316,4.44165311,1.52056842
7/25/2012,Vesta,1.7558899,1.76999693,0.47510811
7/25/2012,Ceres,1.59306041,2.16834611,0.69719488
7/26/2012,699,-8.50128803,-4.53596712,-1.50759231
7/28/2012,Mathilde,-3.2423734,0.75266846,0.22811577
7/28/2012,Donaldjohanson,2.39740661,-1.20641838,-0.30961266
8/10/2012,Patroclus,4.27384461,0.1951734,-1.34755985
9/1/2012,Dinkinesh,1.97601426,0.59758836,0.25438127
11/17/2012,Ceres,0.482802,2.42961948,1.04666079
11/18/2012,301,0.55393064,0.74644257,0.32376013
11/18/2012,599,1.7432264,4.3686977,1.83001797
11/18/2012,433,0.81529325,-1.43586632,-0.66782316
11/18/2012,Orus,-2.43068119,4.1545766,1.27630177
11/24/2012,Gaspra,-0.80268939,1.85304452,0.69855882
12/13/2012,Ceres,0.21081818,2.42388079,1.09939871
12/14/2012,Bennu,0.86631983,0.32235498,0.17867024
12/25/2012,90000188,2.98096731,3.12022375,1.02840075
1/27/2013,SUN,-0.00112472,-0.00226327,-0.00103071
1/27/2013,399,-0.59410544,0.71900195,0.31165347
2/12/2013,Ceres,-0.4308207,2.31047931,1.17674122
2/19/2013,299,0.44891064,-0.51330473,-0.25943485
2/23/2013,Leucus,-5.14048846,1.56261354,-0.49649491
4/19/2013,Annefrank,1.99049193,0.98431376,0.24664739
5/23/2013,Ryugu,-1.02156494,0.26767212,-0.00163506
6/17/2013,Eurybates,-5.18176146,0.27577976,0.73260558
6/21/2013,199,-0.26307523,-0.34343377,-0.1560438
6/21/2013,Orus,-3.73665755,3.2805964,0.72227766
6/22/2013,Polymele,-5.21001492,0.15784228,1.17679872
7/28/2013,Itokawa,-0.29296094,-0.84661811,-0.36883114
8/4/2013,Bennu,-0.75279562,-0.97666457,-0.54844205
12/29/2013,399,-0.1227697,0.89304443,0.38704777
5/24/2014,199,-0.3917888,-0.05947534,0.00907748
5/26/2014,Apophis,0.12546005,-0.7379721,-0.27154556
7/6/2014,399,0.24244193,-0.90783149,-0.3936864
7/6/2014,599,-2.63946918,4.15561112,1.84538502
7/6/2014,Lutetia,-2.40963165,-1.0114565,-0.30942891
7/22/2014,Orus,-5.03707233,0.8534129,-0.45076084
10/1/2014,Polymele,-4.91695092,-2.57395151,-0.57911646
10/1/2014,Apophis,-0.10969053,0.93145588,0.34336492
2/27/2015,Braille,2.46966344,1.30383112,1.38384832
3/14/2015,Apophis,-0.47497193,-0.70759591,-0.27549781
3/14/2015,90000855,2.89642715,2.55103972,0.86276856
3/15/2015,Orus,-5.01005513,-0.79252962,-1.10338295
3/20/2015,301,-0.98997882,0.01772024,0.00759583
4/27/2015,Annefrank,-0.36767387,-2.12368949,-0.80150689
4/27/2015,Apophis,0.36490191,-0.63481806,-0.2270736
5/10/2015,Mathilde,0.63617821,2.37991176,0.71322858
6/17/2015,Lutetia,1.06336074,-1.60559682,-0.77378797
6/26/2015,399,0.07251561,-0.93023767,-0.40343728
11/28/2015,199,-0.04899337,-0.40949562,-0.21357336
12/16/2015,199,0.30891973,-0.22860184,-0.1540564
12/18/2015,Annefrank,1.88939129,-1.2548827,-0.61784196
12/22/2015,Braille,1.21079824,2.90134916,1.02940928
12/27/2015,Ryugu,-1.01896836,0.26781867,-0.00169675
1/9/2016,399,-0.29883181,0.85988461,0.37259152
2/12/2016,301,-0.77661991,0.55356403,0.23973444
2/18/2016,301,-0.83921594,0.47727476,0.20648368
2/20/2016,90000190,-2.06634125,0.2915883,0.5503771
3/21/2016,Mathilde,-2.19384884,2.28920783,0.68866688
3/21/2016,Braille,0.60713936,3.01259787,0.75766641
3/27/2016,SUN,0.00377077,0.00190048,0.00064677
5/26/2016,Annefrank,2.26396018,0.31466048,-0.03243092
6/4/2016,90000855,-1.43624037,0.74622882,0.34842651
6/18/2016,Annefrank,2.2035592,0.54759742,0.06239669
7/18/2016,Donaldjohanson,2.52581915,-0.23078238,0.11233039
7/30/2016,Gaspra,-2.12278635,1.09750688,0.29118519
7/31/2016,Dinkinesh,-0.6106815,1.67771895,0.80506542
