Time,Object_Name,X,Y,Z
12/28/2001,Braille,0.2605069,2.96991531,0.59300059
12/31/2001,699,2.72683312,8.02336752,3.19656724
1/2/2002,399,-0.1956327,0.879241,0.38127849
1/3/2002,399,-0.21273435,0.8759344,0.37984427
1/3/2002,Polymele,-5.26891062,-0.22881086,0.95061646
1/3/2002,Itokawa,1.30408417,0.96855713,0.39071902
1/3/2002,Ceres,2.23029126,-1.57339671,-1.19471631
1/10/2002,Donaldjohanson,2.29096888,0.50064743,0.40254117
1/15/2002,Itokawa,1.22252881,1.06684491,0.43703389
1/20/2002,Ryugu,-0.38981891,-1.21561041,-0.52197403
1/23/2002,Gaspra,1.67925423,-0.93679554,-0.25872723
1/27/2002,Mathilde,1.6915512,1.34168518,0.40218412
2/3/2002,599,-1.19833031,4.61933718,2.00918235
2/20/2002,299,0.71752764,-0.0813826,-0.08193176
3/1/2002,599,-1.39074543,4.58116387,1.99750457
3/5/2002,Gaspra,1.82399229,-0.45625455,-0.05133332
3/10/2002,Ceres,2.58616971,-1.07853658,-1.03412196
3/16/2002,199,0.15039792,-0.37075622,-0.21314994
5/22/2002,Orus,-4.65202836,2.10670206,0.11210856
5/31/2002,-122911,-0.35788766,-0.87525743,-0.37947357
6/3/2002,90000855,2.77968272,2.57439126,0.8765055
6/13/2002,Bennu,-0.75741103,0.57885561,0.33109907
6/14/2002,Eurybates,-5.19171807,-1.38714266,-0.19889433
6/14/2002,Lutetia,-2.5756017,1.00815828,0.59628336
6/20/2002,-122911,-0.0271884,-0.93681838,-0.40613447
6/21/2002,90000191,2.27317886,3.81183009,1.52125555
6/27/2002,Ryugu,1.20046755,-0.42450286,-0.04181614
6/27/2002,-122911,0.09116294,-0.93371541,-0.40477198
7/5/2002,Apophis,-0.8910421,0.60151481,0.20053163
7/13/2002,Braille,-1.09595673,1.98953747,-0.21117634
7/14/2002,Gaspra,1.35841109,1.10953689,0.55487944
7/16/2002,Polymele,-5.27790356,-1.40986461,0.21928441
7/18/2002,90000191,2.15224339,3.8787336,1.57932485
7/21/2002,199,-0.14807058,0.23914188,0.14364357
7/21/2002,599,-2.39990264,4.25989365,1.8843658
7/21/2002,Patroclus,2.24583665,3.71786217,2.28114931
7/25/2002,Lutetia,-2.69934086,0.67361552,0.45503873
7/28/2002,Itokawa,-0.84159385,0.87705642,0.41693814
8/1/2002,SUN,0.00021329,-0.00485978,-0.00206733
8/2/2002,Bennu,-1.1771286,-0.03129747,-0.01166064
8/30/2002,Polymele,-5.22759306,-1.67290238,0.04555988
9/15/2002,699,1.24824196,8.29004162,3.37036888
9/26/2002,Mathilde,-0.43698953,2.71192264,0.81482119
9/26/2002,Patroclus,1.81391941,3.86390297,2.55449249
10/2/2002,Donaldjohanson,-0.45242625,1.75582034,0.70382776
10/2/2002,Braille,-1.42534394,1.07764708,-0.51275514
10/3/2002,Apophis,-0.72559862,-0.57501854,-0.23295069
10/4/2002,90000190,1.77892239,4.02686442,1.72847858
10/4/2002,Itokawa,-1.00406818,-0.14592284,-0.03354448
10/9/2002,399,0.96342055,0.24027712,0.10419381
10/10/2002,Orus,-4.99894088,1.18477709,-0.31065468
10/11/2002,Mathilde,-0.58121847,2.72237611,0.81802168
