Time,Object_Name,X,Y,Z
12/28/2001,Braille,0.2605069,2.96991531,0.59300059
12/28/2001,Dinkinesh,0.49502901,-2.15044584,-1.0277228
12/31/2001,699,2.72683312,8.02336752,3.19656724
12/31/2001,Ryugu,-0.62639867,-1.08173059,-0.49386575
1/1/2002,Lutetia,-1.55992201,2.05795784,1.00320443
1/1/2002,Braille,0.23148859,2.96415056,0.57818859
1/2/2002,399,-0.1956327,0.879241,0.38127849
1/3/2002,399,-0.21273435,0.8759344,0.37984427
1/3/2002,Polymele,-5.26891062,-0.22881086,0.95061646
1/3/2002,Itokawa,1.30408417,0.96855713,0.39071902
1/3/2002,Ceres,2.23029126,-1.57339671,-1.19471631
1/8/2002,90000188,2.89380127,3.23620361,1.10351429
1/8/2002,90000191,2.89380429,3.23620434,1.10350745
1/8/2002,Eurybates,-5.25430537,-0.39149695,0.36708756
1/8/2002,Mathilde,1.7933747,1.13327571,0.33950503
1/9/2002,Bennu,0.93885305,-0.54363878,-0.31058907
1/10/2002,Donaldjohanson,2.29096888,0.50064743,0.40254117
1/11/2002,Vesta,0.63870787,2.33741784,0.84693374
1/15/2002,Itokawa,1.22252881,1.06684491,0.43703389
1/20/2002,Ryugu,-0.38981891,-1.21561041,-0.52197403
1/22/2002,Mathilde,1.72008415,1.28809933,0.3860674
1/23/2002,Gaspra,1.67925423,-0.93679554,-0.25872723
1/27/2002,Mathilde,1.6915512,1.34168518,0.40218412
1/27/2002,Braille,0.04210833,2.91422432,0.47959172
1/29/2002,90000191,2.82677049,3.32598994,1.1628626
2/3/2002,599,-1.19833031,4.61933718,2.00918235
2/4/2002,Eurybates,-5.26168453,-0.56541325,0.27026804
2/20/2002,299,0.71752764,-0.0813826,-0.08193176
3/1/2002,599,-1.39074543,4.58116387,1.99750457
3/5/2002,Gaspra,1.82399229,-0.45625455,-0.05133332
3/6/2002,Ryugu,0.18958736,-1.31437291,-0.50014885
3/10/2002,Ceres,2.58616971,-1.07853658,-1.03412196
3/11/2002,Patroclus,3.01739736,3.3086194,1.67011986
3/16/2002,199,0.15039792,-0.37075622,-0.21314994
3/20/2002,Lutetia,-2.13762256,1.62985714,0.84672821
3/28/2002,Ryugu,0.46600431,-1.26117666,-0.45004474
4/3/2002,Lutetia,-2.22425295,1.53790047,0.81094879
4/7/2002,699,2.17738077,8.1491449,3.27217254
4/7/2002,Orus,-4.49748727,2.38336586,0.24689594
4/7/2002,Leucus,-5.15646941,-1.2475894,-1.50513982
4/14/2002,Ryugu,0.66409147,-1.17628175,-0.39563267
4/25/2002,90000191,2.51252176,3.64455227,1.38835557
5/1/2002,Vesta,-0.47191837,2.29721611,0.97618705
5/1/2002,Apophis,0.0051031,0.91242715,0.33936736
5/1/2002,Ceres,2.77917239,-0.65081111,-0.87199352
