Time,Object_Name,X,Y,Z
7/21/2002,Patroclus,2.24583665,3.71786217,2.28114931
10/4/2002,90000190,1.77892239,4.02686442,1.72847858
10/4/2002,Itokawa,-1.00406818,-0.14592284,-0.03354448
10/9/2002,399,0.96342055,0.24027712,0.10419381
10/13/2002,Polymele,-5.16006832,-1.9242444,-0.12447288
10/17/2002,Polymele,-5.15304541,-1.94677858,-0.13991813
10/19/2002,SUN,0.00081765,-0.00464513,-0.00199227
10/27/2002,-122911,0.83109645,0.49661546,0.21543766
10/28/2002,301,0.82030155,0.51211047,0.22220646
7/23/2003,-122911,0.50602467,-0.81309535,-0.35250845
7/24/2003,Dinkinesh,-0.40930327,1.71667897,0.82100584
9/2/2003,Vesta,-1.21886177,-1.70915995,-0.52110343
9/6/2003,-122911,0.96662429,-0.27446644,-0.11892543
9/17/2003,599,-4.69487387,2.36176424,1.1266327
9/17/2003,433,-0.68808796,-1.1603731,-0.78375369
10/9/2003,299,-0.47997091,-0.50550964,-0.19686167
10/9/2003,399,0.96692077,0.23794405,0.10310941
10/10/2003,199,-0.30125562,0.13483239,0.10383593
10/10/2003,Leucus,-2.91203639,-4.25872628,-2.11923352
10/10/2003,Annefrank,0.87568982,1.84090254,0.65661573
10/14/2003,Leucus,-2.88844309,-4.27414931,-2.11989355
10/14/2003,Lutetia,-0.08359396,-2.02181871,-0.89193693
10/14/2003,Annefrank,0.83101352,1.85532598,0.66529027
10/14/2003,Patroclus,-0.87462391,3.92988103,3.55836773
10/16/2003,Lutetia,-0.05951933,-2.01905158,-0.89210153
10/16/2003,Bennu,-1.17901119,-0.05465323,-0.02518741
12/9/2003,699,-1.38688006,8.22515255,3.45701006
1/5/2004,Ryugu,0.68283926,0.69250212,0.34529687
1/8/2004,599,-5.06206594,1.68443517,0.84524483
1/11/2004,Ryugu,0.5899559,0.74775385,0.35738625
3/20/2004,Polymele,-3.14794968,-4.2192632,-1.96637817
3/20/2004,Mathilde,-3.25810945,0.02638372,0.01008809
3/22/2004,Bennu,0.16179705,-1.14045092,-0.64469313
3/24/2004,Apophis,-0.6872641,0.78309538,0.27330154
11/6/2004,Patroclus,-3.38291159,2.88708205,3.58101799
11/13/2004,Ryugu,0.63369574,-1.19016309,-0.40481772
11/14/2004,Orus,-3.29079195,-3.67546441,-1.9840056
1/21/2005,Dinkinesh,-0.16976807,-2.19852811,-1.04098512
1/24/2005,299,-0.05056758,-0.66221672,-0.29457266
1/24/2005,Bennu,-1.16574453,-0.41129076,-0.22713786
4/14/2005,399,-0.91139218,-0.37503585,-0.16271477
9/17/2005,Bennu,1.01856938,-0.06023666,-0.03886731
9/20/2005,Polymele,0.43849343,-4.59915319,-2.94578025
9/27/2005,Donaldjohanson,2.23904858,0.61115718,0.44414711
9/28/2005,399,1.00250063,0.07992987,0.03452216
9/28/2005,Orus,-1.25221739,-4.7486254,-2.09264709
10/2/2005,Mathilde,1.29623311,-1.44382248,-0.43410392
10/3/2005,Itokawa,-1.05585941,0.14444883,0.09492242
10/3/2005,90000855,4.2346494,-1.98703476,-0.94457207
10/8/2005,Patroclus,-4.92618536,1.41139381,2.90473997
10/25/2005,SUN,0.00404311,0.00167022,0.00059687
11/1/2005,Dinkinesh,2.10111829,-0.70757595,-0.36724458
3/5/2006,Orus,-0.12179713,-4.94598043,-1.99402765
3/28/2006,Orus,0.04455177,-4.95482634,-1.97144884
4/29/2006,Braille,-1.4061605,1.1737316,-0.48830068
5/25/2006,90000188,2.98992811,0.54296237,-0.3020617
12/16/2006,199,-0.32029391,-0.28203227,-0.11768013
12/16/2006,599,-2.5773386,-4.34769622,-1.80084313
12/30/2006,299,0.51243655,-0.45733988,-0.23821469
12/31/2006,90000855,5.30438441,0.00970828,-0.21886422
1/15/2007,Vesta,-1.98326996,-0.96518455,-0.12485332
2/5/2007,Ryugu,-0.93301736,-0.74634801,-0.39360394
2/13/2007,301,-0.79479185,0.53673216,0.23232951
1/15/2008,Itokawa,1.42410192,0.78048716,0.30642639
1/16/2008,299,-0.6401617,-0.31326385,-0.10057774
4/15/2008,Itokawa,0.70087763,1.40361555,0.60503692
5/5/2008,Braille,2.09153336,2.21345437,1.35003331
5/31/2008,Patroclus,-4.65338743,-3.15289374,-0.96761013
6/4/2008,199,-0.18140681,-0.38072083,-0.18516344
6/6/2008,Apophis,0.55376117,0.61215784,0.24219021
6/22/2008,Annefrank,-1.32807547,-1.70473555,-0.5725922
6/25/2008,Ryugu,-0.62590378,-1.07305825,-0.49001662
7/8/2008,Mathilde,-3.26492171,0.04765556,0.01749568
9/5/2008,-122911,0.96100068,-0.27107787,-0.11745644
11/4/2008,299,0.52101524,-0.44477288,-0.23330031
11/15/2008,Itokawa,-0.94433238,-0.28289405,-0.09885913
12/1/2008,599,2.52901366,-4.06932422,-1.80587005
12/2/2008,Eurybates,4.64927976,1.40421955,0.26908984
12/5/2008,Donaldjohanson,2.43900737,-1.08344153,-0.25427995
12/10/2008,90000190,0.44146813,4.04871615,1.99950027
12/10/2008,Itokawa,-0.65368127,-0.63905499,-0.26598532
4/5/2009,Vesta,0.73899035,2.32318824,0.82837836
4/11/2009,Ceres,-2.46061138,0.28384132,0.63396284
5/7/2009,Eros,0.86051638,-30.11394845,-9.65719326
5/10/2009,Leucus,3.39042127,3.07627949,1.79485054
5/10/2009,-122911,-0.66070796,-0.69890588,-0.30307035
5/12/2009,Ryugu,-0.38345099,0.84200797,0.2931507
5/30/2009,Gaspra,0.10389082,1.8433356,0.76220563
6/5/2009,699,-9.3002411,1.17490011,0.88563838
6/13/2009,Itokawa,1.51703943,0.33615392,0.1057248
6/22/2009,433,1.1880583,-1.22338821,-0.48054605
8/18/2009,-122911,0.82640827,-0.52870637,-0.22911983
8/25/2009,Lutetia,-1.69663447,1.98944058,0.98045534
1/25/2010,Orus,4.45021011,1.81897333,1.42473146
5/10/2010,90000855,-1.33388876,-1.09768533,-0.36769976
5/15/2010,90000191,-2.08014492,1.20182274,1.0230054
5/16/2010,Gaspra,-2.55595728,-0.05564772,-0.21189093
5/17/2010,433,-1.01934569,0.54730481,0.12740038
5/17/2010,Vesta,-2.2816461,0.13966067,0.35340996
5/17/2010,Dinkinesh,-1.69099754,1.02907552,0.51336305
5/23/2010,90000855,-1.23732607,-1.26324011,-0.43566035
5/23/2010,Dinkinesh,-1.73729221,0.9759404,0.48883117
5/23/2010,Gaspra,-2.55607967,-0.11947489,-0.2380137
5/26/2010,199,0.18872224,-0.3398059,-0.20168575
5/26/2010,299,-0.60052897,0.35187566,0.19604014
5/27/2010,Apophis,-0.56859808,0.85545535,0.30387979
5/28/2010,299,-0.62221399,0.31994754,0.1830473
6/7/2010,Dinkinesh,-1.8435437,0.83798368,0.42493132
6/11/2010,90000190,-2.10038553,0.91743812,0.88040171
6/11/2010,90000191,-2.1003858,0.91743614,0.8804005
6/12/2010,301,-0.16575837,-0.91570598,-0.39685408
6/12/2010,699,-9.49820768,-0.74528948,0.10104218
6/12/2010,433,-1.19595143,0.20546999,-0.09866833
6/12/2010,90000188,-2.1005825,0.90664782,0.8748787
6/12/2010,90000190,-2.10058039,0.9066388,0.87487481
6/12/2010,Vesta,-2.27073694,-0.13762373,0.2415417
6/12/2010,Bennu,1.00267907,-0.32400482,-0.18768891
6/12/2010,Itokawa,-0.7597098,-0.54592789,-0.22140213
6/12/2010,Apophis,-0.76977996,0.73318941,0.25323089
6/12/2010,90000855,-1.06939024,-1.49741666,-0.53310784
6/12/2010,Ceres,-0.2000271,-2.57302345,-1.17235492
6/13/2010,-122911,-0.14993263,-0.92020149,-0.39892944
6/14/2010,Eurybates,1.49865471,3.95695199,2.05354048
6/14/2010,Mathilde,1.97533475,0.28351653,0.08366077
6/14/2010,Bennu,1.00752104,-0.29467695,-0.17113544
6/15/2010,199,0.32069553,0.09429882,0.01652902
6/15/2010,90000188,-2.10091125,0.87414037,0.85819178
6/19/2010,Eros,2.16358617,-30.14148906,-10.05820352
6/19/2010,Orus,3.81676768,2.72453294,1.68677239
6/19/2010,90000190,-2.10073845,0.83053572,0.83569023
7/11/2010,Ryugu,0.51167946,0.7874525,0.36573516
7/20/2010,399,0.45805418,-0.82869684,-0.35924435
7/23/2010,90000190,-2.06822414,0.44939793,0.63296826
7/30/2010,Apophis,-1.07466191,0.15174447,0.02909672
8/19/2010,Polymele,0.9165203,3.98917883,2.28540622
8/19/2010,Itokawa,0.43144162,-0.89493225,-0.41140846
9/11/2010,433,-0.90130717,-0.9604937,-0.70781436
9/11/2010,Polymele,0.73335098,4.00736414,2.33464026
9/18/2010,Leucus,-0.10717225,4.708101,1.65967451
9/21/2010,599,4.94977628,-0.09867319,-0.16288523
10/10/2010,Donaldjohanson,-2.15377482,-0.32672391,-0.31683514
10/17/2010,433,-0.5428288,-1.26234597,-0.81455348
10/17/2010,Mathilde,1.43280236,1.70882969,0.51152904
10/22/2010,Apophis,-0.23823382,-0.76422346,-0.29021294
10/22/2010,90000855,0.29251332,-2.46788869,-0.96494078
10/24/2010,199,-0.32003518,-0.29266261,-0.12367582
10/25/2010,Polymele,0.38007689,4.02527301,2.41894278
1/21/2011,Eros,2.85170625,-30.13781753,-10.26392705
1/22/2011,Eurybates,-0.29728493,4.10844637,2.338938
1/23/2011,-122911,-0.53212823,0.76250544,0.33052153
1/24/2011,699,-9.39816952,-1.90052313,-0.38042543
1/26/2011,301,-0.57820391,0.7347813,0.31834447
1/31/2011,Eros,2.88383567,-30.13714218,-10.2739117
2/10/2011,Vesta,-0.4840139,-1.97014791,-0.7219107
2/10/2011,Ceres,1.97991627,-1.81392422,-1.25854895
5/1/2011,90000190,1.14519797,-1.17529692,-0.8292018
5/3/2011,Braille,2.49983612,0.58544653,1.28805299
5/4/2011,Annefrank,-2.11677116,-0.23655869,0.05260761
5/7/2011,301,-0.70530871,-0.66303815,-0.28744484
5/8/2011,Apophis,-0.83871814,0.66909871,0.22750026
6/14/2011,Ceres,2.66895909,-0.90385519,-0.97001244
6/15/2011,Dinkinesh,-0.52357003,-2.1505353,-1.0129753
6/27/2011,SUN,-0.00388438,-0.00032454,-0.0001281
6/28/2011,SUN,-0.00388183,-0.00032978,-0.00013042
6/28/2011,299,0.32336831,0.59358484,0.24637893
7/22/2011,Orus,1.22915818,4.37441819,1.93898872
7/22/2011,Vesta,1.3717874,-1.56023967,-0.80124511
7/30/2011,Donaldjohanson,-0.33764544,-2.48339681,-1.07630106
8/4/2011,Leucus,-2.47909072,4.35778341,1.04780395
8/14/2011,299,-0.545909,0.41562528,0.22132732
8/15/2011,90000855,3.00559224,-2.5921187,-1.12694658
8/16/2011,399,0.80131811,-0.56430661,-0.24463365
8/16/2011,Eurybates,-1.93457882,3.7500699,2.32043322
8/18/2011,299,-0.59562188,0.35571626,0.19751934
8/25/2011,299,-0.66414335,0.24044182,0.14999187
8/28/2011,Ceres,2.87071687,-0.26780832,-0.71135988
