Time,Object_Name,X,Y,Z
12/28/2001,Braille,0.2605069,2.96991531,0.59300059
3/16/2002,199,0.15039792,-0.37075622,-0.21314994
6/3/2002,90000855,2.77968272,2.57439126,0.8765055
7/14/2002,Gaspra,1.35841109,1.10953689,0.55487944
7/16/2002,Polymele,-5.27790356,-1.40986461,0.21928441
7/18/2002,90000191,2.15224339,3.8787336,1.57932485
7/21/2002,199,-0.14807058,0.23914188,0.14364357
7/21/2002,Patroclus,2.24583665,3.71786217,2.28114931
7/25/2002,Lutetia,-2.69934086,0.67361552,0.45503873
10/4/2002,90000190,1.77892239,4.02686442,1.72847858
10/4/2002,Itokawa,-1.00406818,-0.14592284,-0.03354448
10/9/2002,399,0.96342055,0.24027712,0.10419381
10/11/2002,Mathilde,-0.58121847,2.72237611,0.81802168
10/12/2002,Orus,-5.00232868,1.1712334,-0.31659707
10/13/2002,Polymele,-5.16006832,-1.9242444,-0.12447288
10/17/2002,Polymele,-5.15304541,-1.94677858,-0.13991813
10/19/2002,SUN,0.00081765,-0.00464513,-0.00199227
10/27/2002,-122911,0.83109645,0.49661546,0.21543766
10/28/2002,301,0.82030155,0.51211047,0.22220646
11/4/2002,Bennu,-0.68282924,-1.02594296,-0.57577293
11/29/2002,599,-3.24409928,3.8070153,1.71079868
11/30/2002,Itokawa,-0.26349475,-0.85896595,-0.37419016
12/2/2002,699,0.79279652,8.32739033,3.40540302
12/2/2002,Patroclus,1.36241106,3.96837056,2.80035699
12/3/2002,599,-3.26825498,3.79102758,1.70453388
12/4/2002,-122911,0.31223452,0.85355659,0.37012942
12/13/2002,599,-3.32818654,3.75053006,1.6886343
12/13/2002,699,0.72838289,8.33102479,3.40967586
12/13/2002,Eros,-6.56231965,-29.02840094,-7.08131324
12/17/2002,301,0.09157707,0.89673892,0.38871181
12/17/2002,90000191,1.3966573,4.10415014,1.84285472
12/31/2002,Apophis,0.72819346,-0.18260321,-0.0494371
12/31/2002,-122911,-0.15364626,0.88644942,0.38432993
12/31/2002,Patroclus,1.16228921,4.00083548,2.89788149
2/3/2003,Eurybates,-4.65440012,-2.7394445,-1.01811658
4/7/2003,301,-0.95566921,-0.26603984,-0.11529658
4/14/2003,Leucus,-3.87722757,-3.45642306,-2.03104846
4/16/2003,Polymele,-4.68816128,-2.9001572,-0.82815733
4/22/2003,Annefrank,2.19139535,0.57106694,0.07219715
4/23/2003,Ryugu,-0.57265193,-1.11470187,-0.50168914
